"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"ENO4","Lymphocyte","PTSD","Wald ratio",1,-0.065,0.021,0.937,0.0019,NA,NA,NA,0.123931142
"TMEM50B","Lymphocyte","PTSD","Wald ratio",1,0.074,0.024,1.077,0.00231,NA,NA,NA,0.060089353
"POLR2E","Lymphocyte","PTSD","Wald ratio",1,-0.096,0.032,0.908,0.00237,NA,NA,NA,0.126530412
"SH3RF3","Lymphocyte","PTSD","Wald ratio",1,-0.054,0.019,0.947,0.00374,NA,NA,NA,0.008117615
"CTNNBIP1","Lymphocyte","PTSD","Wald ratio",1,0.042,0.014,1.043,0.00387,NA,NA,NA,0.002780096
"DND1P1","Lymphocyte","PTSD","Wald ratio",1,-0.042,0.015,0.959,0.00402,NA,NA,NA,0.338532178
"GDI2","Lymphocyte","PTSD","Wald ratio",1,0.054,0.019,1.055,0.0056,NA,NA,NA,0.251010275
"TRAK1","Lymphocyte","PTSD","Wald ratio",1,0.024,0.009,1.024,0.00634,NA,NA,NA,0.000349271
"RPA3","Lymphocyte","PTSD","Wald ratio",1,0.03,0.011,1.03,0.00807,NA,NA,NA,0.003264061
"CCDC146","Lymphocyte","PTSD","Wald ratio",1,-0.043,0.018,0.958,0.0152,NA,NA,NA,0.087856389
"PTPN14","Lymphocyte","PTSD","Wald ratio",1,-0.049,0.021,0.952,0.0167,NA,NA,NA,0.000892373
"IL4I1","Lymphocyte","PTSD","Wald ratio",1,-0.025,0.01,0.975,0.0175,NA,NA,NA,0.117292819
"NARF","Lymphocyte","PTSD","Wald ratio",1,0.054,0.023,1.055,0.0189,NA,NA,NA,0.106920314
"BCL2L15","Lymphocyte","PTSD","Wald ratio",1,-0.039,0.017,0.962,0.0203,NA,NA,NA,0.051958573
"ZKSCAN8","Lymphocyte","PTSD","Wald ratio",1,-0.043,0.019,0.958,0.0211,NA,NA,NA,0.110441026
"ADPGK","Lymphocyte","PTSD","Wald ratio",1,0.027,0.012,1.028,0.0211,NA,NA,NA,0.00087641
"AP001347.6","Lymphocyte","PTSD","Inverse variance weighted",2,-0.031,0.014,0.969,0.0265,NA,0.360987602,NA,0.127205922
"ZDHHC14","Lymphocyte","PTSD","Wald ratio",1,0.051,0.023,1.053,0.0267,NA,NA,NA,0.07069686
"CNDP2","Lymphocyte","PTSD","Wald ratio",1,-0.066,0.03,0.936,0.0281,NA,NA,NA,0.084306325
"ELP3","Lymphocyte","PTSD","Wald ratio",1,-0.035,0.017,0.966,0.0338,NA,NA,NA,0.0003086
"RP1-303A1.1","Lymphocyte","PTSD","Wald ratio",1,-0.027,0.013,0.974,0.0359,NA,NA,NA,0.039269277
"SLC23A2","Lymphocyte","PTSD","Wald ratio",1,-0.029,0.014,0.971,0.039,NA,NA,NA,0.001874431
"MYO5A","Lymphocyte","PTSD","Wald ratio",1,0.036,0.018,1.037,0.0408,NA,NA,NA,0.071746734
"MAP3K2","Lymphocyte","PTSD","Wald ratio",1,0.04,0.02,1.04,0.0434,NA,NA,NA,0.00273233
"GLCCI1","Lymphocyte","PTSD","Wald ratio",1,0.075,0.037,1.078,0.0448,NA,NA,NA,0.018995461
"RP11-329N22.1","Lymphocyte","PTSD","Wald ratio",1,0.053,0.026,1.054,0.0449,NA,NA,NA,0.015696508
"OXNAD1","Lymphocyte","PTSD","Wald ratio",1,-0.017,0.009,0.983,0.0455,NA,NA,NA,0.001133036
"KLC1","Lymphocyte","PTSD","Wald ratio",1,0.035,0.017,1.035,0.0455,NA,NA,NA,0.055605172
"IKZF1","Lymphocyte","PTSD","Wald ratio",1,0.047,0.024,1.048,0.0473,NA,NA,NA,0.002706315
"CIITA","Lymphocyte","PTSD","Wald ratio",1,-0.038,0.019,0.962,0.0485,NA,NA,NA,0.000908077
"AC069368.3","Lymphocyte","PTSD","Wald ratio",1,0.02,0.01,1.02,0.0492,NA,NA,NA,0.014618522
"RAMP1","Lymphocyte","PTSD","Wald ratio",1,0.04,0.021,1.041,0.0499,NA,NA,NA,0.049363182
"TRAJ9","Lymphocyte","PTSD","Wald ratio",1,-0.055,0.028,0.946,0.05,NA,NA,NA,0.014550402
"RNASEH1-AS1","Lymphocyte","PTSD","Wald ratio",1,-0.041,0.022,0.96,0.0562,NA,NA,NA,0.096381734
"RMDN2","Lymphocyte","PTSD","Wald ratio",1,0.045,0.023,1.046,0.0566,NA,NA,NA,0.042692289
"CTNNA2","Lymphocyte","PTSD","Wald ratio",1,-0.018,0.01,0.982,0.0574,NA,NA,NA,0.04307695
"GSK3B","Lymphocyte","PTSD","Wald ratio",1,0.051,0.027,1.052,0.0581,NA,NA,NA,0.005538651
"GUCY1A3","Lymphocyte","PTSD","Wald ratio",1,0.039,0.02,1.039,0.0586,NA,NA,NA,0.001122108
"RP11-125B21.2","Lymphocyte","PTSD","Wald ratio",1,-0.03,0.016,0.97,0.0587,NA,NA,NA,0.006861284
"RP11-387D10.2","Lymphocyte","PTSD","Wald ratio",1,-0.053,0.029,0.948,0.0655,NA,NA,NA,0.006856923
